pSTAT5,Foxp3,CD25,PD1,CD4,Position X,Position Y,Position Z
40.2384,267.739,43.5532,225.015,340.709,815.356,1588.35,9.87451
33.6889,314.795,96.6011,126.105,180.774,905.537,1499.94,10.2646
51.0597,372.706,48.2326,157.497,199.089,553.747,1852.78,2.56849
34.142,418.618,34.3497,340.506,295.524,673.93,1731.47,12.0192
47.3464,429.602,112.434,80.6936,287.383,869.368,1537.37,8.039
44.6577,264.719,50.8475,88.1319,114.938,902.037,1506.9,3.59094
59.0378,343.445,78.1676,111.282,374.319,888.59,1517.63,9.74472
52.6039,332.845,51.8264,500.187,441.594,819.402,1586.55,12.599
25.5095,323.068,42.72,51.673,210.692,762.808,1642.89,12.8314
33.5448,323.506,121.847,121.421,225.395,904.163,1499.93,13.3273
42.0729,371.972,114.195,337.742,364.795,703.764,1704.35,9.13531
28.3521,444.268,38.7386,225.762,182.308,555.662,1852.82,11.1405
26.2252,285.866,52.785,80.6947,206.164,753.168,1608.37,12.5383
102.008,448.404,118.273,121.116,426.918,713.2,1652.63,2.00281
26.7502,366.021,38.7899,67.7249,165.908,636.232,1728.29,12.794
32.1188,357.017,72.3159,76.9351,255.402,808.212,1555.61,12.2531
47.8041,353.976,30.5122,708.168,422.618,1020.66,1345.12,11.4436
49.4586,351.331,46.1309,66.934,331.698,718.544,1647.32,6.76589
60.5433,469.056,141.688,204.175,299.207,693.955,1674.95,4.12867
39.0382,428.919,99.6768,78.6696,289.343,850.37,1515.03,12.7202
54.917,316.358,58.4514,133.479,266.008,761.26,1608.54,2.0369
45.36,447.277,52.5344,251.45,339.748,783.875,1584.53,9.55068
63.8272,613.219,86.0471,171.48,240.525,644.493,1726.22,2.42913
27.5814,521.512,75.4979,63.5844,193.411,913.809,1454.53,12.8386
67.156,410.759,57.0692,174.462,397.603,779.613,1594.4,4.86066
114.271,210.939,170.728,204.765,411.104,821.426,1550.99,8.55774
43.5529,468.479,38.8137,212.922,340.328,868.172,1501.47,11.7799
51.5357,409.502,46.6522,162.438,362.148,865.988,1505.13,8.80437
48.0932,334.103,69.6227,72.4062,216.197,836.717,1533.08,7.8082
47.382,406.372,30.3201,416.838,318.961,1015.43,1356.66,9.11506
45.6764,398.781,76.4764,69.2727,276.948,810.246,1559.99,9.77383
42.305,411.443,171.437,305.852,267.599,692.54,1679.66,6.44936
105.636,374.899,243.62,179.624,312.051,855.955,1516.77,2.60016
84.5019,391.278,124.528,232.931,353.352,695.233,1679.94,1.31674
